location_out	location_in	location_distance
ISONE	ISONE	0
ISONE	NYISO	302
ISONE	PJM	633
ISONE	MISO	1365
ISONE	SPP	2007
ISONE	ERCOT	2491
ISONE	CAISO	4331
ISONE	Southeast	1159
ISONE	Southwest	2839
ISONE	Northwest	4074
NYISO	ISONE	302
NYISO	NYISO	0
NYISO	PJM	331
NYISO	MISO	1144
NYISO	SPP	1760
NYISO	ERCOT	2207
NYISO	CAISO	4127
NYISO	Southeast	858
NYISO	Southwest	2618
NYISO	Northwest	3923
PJM	ISONE	633
PJM	NYISO	331
PJM	PJM	0
PJM	MISO	955
PJM	SPP	1513
PJM	ERCOT	1901
PJM	CAISO	3916
PJM	Southeast	530
PJM	Southwest	2395
PJM	Northwest	3775
MISO	ISONE	1365
MISO	NYISO	1144
MISO	PJM	955
MISO	MISO	0
MISO	SPP	663
MISO	ERCOT	1294
MISO	CAISO	2983
MISO	Southeast	945
MISO	Southwest	1477
MISO	Northwest	2822
SPP	ISONE	2007
SPP	NYISO	1760
SPP	PJM	1513
SPP	MISO	663
SPP	SPP	0
SPP	ERCOT	730
SPP	CAISO	2418
SPP	Southeast	1289
SPP	Southwest	896
SPP	Northwest	2403
ERCOT	ISONE	2491
ERCOT	NYISO	2207
ERCOT	PJM	1901
ERCOT	MISO	1294
ERCOT	SPP	730
ERCOT	ERCOT	0
ERCOT	CAISO	2382
ERCOT	Southeast	1493
ERCOT	Southwest	1066
ERCOT	Northwest	2624
CAISO	ISONE	4331
CAISO	NYISO	4127
CAISO	PJM	3916
CAISO	MISO	2983
CAISO	SPP	2418
CAISO	ERCOT	2382
CAISO	CAISO	0
CAISO	Southeast	3694
CAISO	Southwest	1523
CAISO	Northwest	860
Southeast	ISONE	1159
Southeast	NYISO	858
Southeast	PJM	530
Southeast	MISO	945
Southeast	SPP	1289
Southeast	ERCOT	1493
Southeast	CAISO	3694
Southeast	Southeast	0
Southeast	Southwest	2180
Southeast	Northwest	3675
Southwest	ISONE	2839
Southwest	NYISO	2618
Southwest	PJM	2395
Southwest	MISO	1477
Southwest	SPP	896
Southwest	ERCOT	1066
Southwest	CAISO	1523
Southwest	Southeast	2180
Southwest	Southwest	0
Southwest	Northwest	1578
Northwest	ISONE	4074
Northwest	NYISO	3923
Northwest	PJM	3775
Northwest	MISO	2822
Northwest	SPP	2403
Northwest	ERCOT	2624
Northwest	CAISO	860
Northwest	Southeast	3675
Northwest	Southwest	1578
Northwest	Northwest	0
