fuel_source	heat_use	match_invest_cost_fuel_heat	match_operate_cost_fuel_heat	match_retire_cost_fuel_heat	match_efficiency_fuel_heat
biomass	space	4045528	5562085	362263	0.931
biomass	water	5296404	758294	483349	0.788
biomass	boiler	9615580	1444444	838524	0.965
biofuel	space	1000000000000	1000000000000	1E+12	0.001
biofuel	water	1000000000000	1000000000000	1E+12	0.001
biofuel	boiler	1000000000000	1444444	838524	0.987
naturalgas	space	2022764	2781043	181132	1.095
naturalgas	water	2648202	379147	241675	0.927
naturalgas	boiler	3099391	922222	270281	1.044
petroleum	space	1000000000000	2781043	181132	1.095
petroleum	water	1000000000000	379147	241675	0.927
petroleum	boiler	1000000000000	922222	270281	0.987
coal	space	1000000000000	1000000000000	1E+12	0.001
coal	water	1000000000000	1000000000000	1E+12	0.001
coal	boiler	1000000000000	1444444	838524	0.965
