fuel_source	heat_use	location	match_exist_capacity_fuel_heat
biomass	space	ISONE	17.133
biomass	space	NYISO	16.33
biomass	space	PJM	50.202
biomass	space	MISO	37.271
biomass	space	SPP	8.67
biomass	space	ERCOT	5.998
biomass	space	CAISO	11.873
biomass	space	Southeast	15.762
biomass	space	Southwest	6.291
biomass	space	Northwest	9.483
biomass	water	ISONE	0
biomass	water	NYISO	0
biomass	water	PJM	0
biomass	water	MISO	0
biomass	water	SPP	0
biomass	water	ERCOT	0
biomass	water	CAISO	0
biomass	water	Southeast	0
biomass	water	Southwest	0
biomass	water	Northwest	0
biomass	boiler	ISONE	2.417
biomass	boiler	NYISO	1.934
biomass	boiler	PJM	31.671
biomass	boiler	MISO	67.301
biomass	boiler	SPP	18.117
biomass	boiler	ERCOT	41.783
biomass	boiler	CAISO	12.987
biomass	boiler	Southeast	21.261
biomass	boiler	Southwest	5.515
biomass	boiler	Northwest	9.239
biofuel	space	ISONE	0
biofuel	space	NYISO	0
biofuel	space	PJM	0
biofuel	space	MISO	0
biofuel	space	SPP	0
biofuel	space	ERCOT	0
biofuel	space	CAISO	0
biofuel	space	Southeast	0
biofuel	space	Southwest	0
biofuel	space	Northwest	0
biofuel	water	ISONE	0
biofuel	water	NYISO	0
biofuel	water	PJM	0
biofuel	water	MISO	0
biofuel	water	SPP	0
biofuel	water	ERCOT	0
biofuel	water	CAISO	0
biofuel	water	Southeast	0
biofuel	water	Southwest	0
biofuel	water	Northwest	0
biofuel	boiler	ISONE	1.181
biofuel	boiler	NYISO	0.944
biofuel	boiler	PJM	15.469
biofuel	boiler	MISO	32.872
biofuel	boiler	SPP	8.849
biofuel	boiler	ERCOT	20.408
biofuel	boiler	CAISO	6.343
biofuel	boiler	Southeast	10.385
biofuel	boiler	Southwest	2.694
biofuel	boiler	Northwest	4.512
naturalgas	space	ISONE	139.9
naturalgas	space	NYISO	133.343
naturalgas	space	PJM	560.233
naturalgas	space	MISO	527.576
naturalgas	space	SPP	122.321
naturalgas	space	ERCOT	77.903
naturalgas	space	CAISO	203.824
naturalgas	space	Southeast	204.528
naturalgas	space	Southwest	106.737
naturalgas	space	Northwest	162.799
naturalgas	water	ISONE	35.554
naturalgas	water	NYISO	33.564
naturalgas	water	PJM	115.043
naturalgas	water	MISO	102.331
naturalgas	water	SPP	22.899
naturalgas	water	ERCOT	11.835
naturalgas	water	CAISO	41.36
naturalgas	water	Southeast	32.082
naturalgas	water	Southwest	21.714
naturalgas	water	Northwest	35.821
naturalgas	boiler	ISONE	4.957
naturalgas	boiler	NYISO	3.965
naturalgas	boiler	PJM	64.949
naturalgas	boiler	MISO	138.015
naturalgas	boiler	SPP	37.152
naturalgas	boiler	ERCOT	85.684
naturalgas	boiler	CAISO	26.632
naturalgas	boiler	Southeast	43.6
naturalgas	boiler	Southwest	11.31
naturalgas	boiler	Northwest	18.946
petroleum	space	ISONE	47.07
petroleum	space	NYISO	44.864
petroleum	space	PJM	96.073
petroleum	space	MISO	38.55
petroleum	space	SPP	9.544
petroleum	space	ERCOT	9.02
petroleum	space	CAISO	11.231
petroleum	space	Southeast	23.715
petroleum	space	Southwest	6.119
petroleum	space	Northwest	8.971
petroleum	water	ISONE	2.353
petroleum	water	NYISO	2.221
petroleum	water	PJM	3.996
petroleum	water	MISO	1.441
petroleum	water	SPP	0.344
petroleum	water	ERCOT	0.269
petroleum	water	CAISO	0.448
petroleum	water	Southeast	0.731
petroleum	water	Southwest	0.244
petroleum	water	Northwest	0.388
petroleum	boiler	ISONE	4.868
petroleum	boiler	NYISO	3.894
petroleum	boiler	PJM	63.783
petroleum	boiler	MISO	135.537
petroleum	boiler	SPP	36.485
petroleum	boiler	ERCOT	84.146
petroleum	boiler	CAISO	26.154
petroleum	boiler	Southeast	42.818
petroleum	boiler	Southwest	11.107
petroleum	boiler	Northwest	18.606
coal	space	ISONE	0
coal	space	NYISO	0
coal	space	PJM	0
coal	space	MISO	0
coal	space	SPP	0
coal	space	ERCOT	0
coal	space	CAISO	0
coal	space	Southeast	0
coal	space	Southwest	0
coal	space	Northwest	0
coal	water	ISONE	0
coal	water	NYISO	0
coal	water	PJM	0
coal	water	MISO	0
coal	water	SPP	0
coal	water	ERCOT	0
coal	water	CAISO	0
coal	water	Southeast	0
coal	water	Southwest	0
coal	water	Northwest	0
coal	boiler	ISONE	1.367
coal	boiler	NYISO	1.093
coal	boiler	PJM	17.909
coal	boiler	MISO	38.057
coal	boiler	SPP	10.244
coal	boiler	ERCOT	23.627
coal	boiler	CAISO	7.344
coal	boiler	Southeast	12.023
coal	boiler	Southwest	3.119
coal	boiler	Northwest	5.224
