fuel_source	transport_use	location	match_exist_capacity_fuel_transport
biomass	lightduty	ISONE	0
biomass	lightduty	NYISO	0
biomass	lightduty	PJM	0
biomass	lightduty	MISO	0
biomass	lightduty	SPP	0
biomass	lightduty	ERCOT	0
biomass	lightduty	CAISO	0
biomass	lightduty	Southeast	0
biomass	lightduty	Southwest	0
biomass	lightduty	Northwest	0
biomass	heavyduty	ISONE	0
biomass	heavyduty	NYISO	0
biomass	heavyduty	PJM	0
biomass	heavyduty	MISO	0
biomass	heavyduty	SPP	0
biomass	heavyduty	ERCOT	0
biomass	heavyduty	CAISO	0
biomass	heavyduty	Southeast	0
biomass	heavyduty	Southwest	0
biomass	heavyduty	Northwest	0
biofuel	lightduty	ISONE	10.788
biofuel	lightduty	NYISO	8.236
biofuel	lightduty	PJM	46.663
biofuel	lightduty	MISO	45.242
biofuel	lightduty	SPP	13
biofuel	lightduty	ERCOT	14.66
biofuel	lightduty	CAISO	28.077
biofuel	lightduty	Southeast	43.299
biofuel	lightduty	Southwest	10.598
biofuel	lightduty	Northwest	13.082
biofuel	heavyduty	ISONE	3.746
biofuel	heavyduty	NYISO	2.861
biofuel	heavyduty	PJM	16.201
biofuel	heavyduty	MISO	15.707
biofuel	heavyduty	SPP	4.514
biofuel	heavyduty	ERCOT	5.09
biofuel	heavyduty	CAISO	9.749
biofuel	heavyduty	Southeast	15.034
biofuel	heavyduty	Southwest	3.68
biofuel	heavyduty	Northwest	4.542
naturalgas	lightduty	ISONE	0.621
naturalgas	lightduty	NYISO	0.474
naturalgas	lightduty	PJM	2.686
naturalgas	lightduty	MISO	2.605
naturalgas	lightduty	SPP	0.748
naturalgas	lightduty	ERCOT	0.844
naturalgas	lightduty	CAISO	1.616
naturalgas	lightduty	Southeast	2.493
naturalgas	lightduty	Southwest	0.61
naturalgas	lightduty	Northwest	0.753
naturalgas	heavyduty	ISONE	0.953
naturalgas	heavyduty	NYISO	0.727
naturalgas	heavyduty	PJM	4.119
naturalgas	heavyduty	MISO	3.994
naturalgas	heavyduty	SPP	1.148
naturalgas	heavyduty	ERCOT	1.294
naturalgas	heavyduty	CAISO	2.479
naturalgas	heavyduty	Southeast	3.823
naturalgas	heavyduty	Southwest	0.936
naturalgas	heavyduty	Northwest	1.155
petroleum	lightduty	ISONE	199.634
petroleum	lightduty	NYISO	152.408
petroleum	lightduty	PJM	863.49
petroleum	lightduty	MISO	837.202
petroleum	lightduty	SPP	240.572
petroleum	lightduty	ERCOT	271.289
petroleum	lightduty	CAISO	519.567
petroleum	lightduty	Southeast	801.232
petroleum	lightduty	Southwest	196.117
petroleum	lightduty	Northwest	242.086
petroleum	heavyduty	ISONE	70.867
petroleum	heavyduty	NYISO	54.114
petroleum	heavyduty	PJM	306.474
petroleum	heavyduty	MISO	297.134
petroleum	heavyduty	SPP	85.396
petroleum	heavyduty	ERCOT	96.292
petroleum	heavyduty	CAISO	184.42
petroleum	heavyduty	Southeast	284.399
petroleum	heavyduty	Southwest	69.617
petroleum	heavyduty	Northwest	85.926
coal	lightduty	ISONE	0
coal	lightduty	NYISO	0
coal	lightduty	PJM	0
coal	lightduty	MISO	0
coal	lightduty	SPP	0
coal	lightduty	ERCOT	0
coal	lightduty	CAISO	0
coal	lightduty	Southeast	0
coal	lightduty	Southwest	0
coal	lightduty	Northwest	0
coal	heavyduty	ISONE	0
coal	heavyduty	NYISO	0
coal	heavyduty	PJM	0
coal	heavyduty	MISO	0
coal	heavyduty	SPP	0
coal	heavyduty	ERCOT	0
coal	heavyduty	CAISO	0
coal	heavyduty	Southeast	0
coal	heavyduty	Southwest	0
coal	heavyduty	Northwest	0
