location_out	location_in	transmit_exist_capacity	pipe_exist_capacity
ISONE	ISONE	0	0
ISONE	NYISO	7.322	0
ISONE	PJM	0	0
ISONE	MISO	0	0
ISONE	SPP	0	0
ISONE	ERCOT	0	0
ISONE	CAISO	0	0
ISONE	Southeast	0	0
ISONE	Southwest	0	0
ISONE	Northwest	0	0
NYISO	ISONE	7.322	0
NYISO	NYISO	0	0
NYISO	PJM	7.2	0
NYISO	MISO	0	0
NYISO	SPP	0	0
NYISO	ERCOT	0	0
NYISO	CAISO	0	0
NYISO	Southeast	0	0
NYISO	Southwest	0	0
NYISO	Northwest	0	0
PJM	ISONE	0	0
PJM	NYISO	7.2	0
PJM	PJM	0	0
PJM	MISO	79.339	0
PJM	SPP	0	0
PJM	ERCOT	0	0
PJM	CAISO	0	0
PJM	Southeast	45.864	0
PJM	Southwest	0	0
PJM	Northwest	0	0
MISO	ISONE	0	0
MISO	NYISO	0	0
MISO	PJM	79.339	0
MISO	MISO	0	0
MISO	SPP	67.145	0
MISO	ERCOT	0	0
MISO	CAISO	0	0
MISO	Southeast	74.422	0
MISO	Southwest	0	0
MISO	Northwest	0.72	0
SPP	ISONE	0	0
SPP	NYISO	0	0
SPP	PJM	0	0
SPP	MISO	67.145	0
SPP	SPP	0	0
SPP	ERCOT	2.952	0
SPP	CAISO	0	0
SPP	Southeast	3.592	0
SPP	Southwest	4.032	0
SPP	Northwest	0	0
ERCOT	ISONE	0	0
ERCOT	NYISO	0	0
ERCOT	PJM	0	0
ERCOT	MISO	0	0
ERCOT	SPP	2.952	0
ERCOT	ERCOT	0	0
ERCOT	CAISO	0	0
ERCOT	Southeast	0	0
ERCOT	Southwest	0	0
ERCOT	Northwest	0	0
CAISO	ISONE	0	0
CAISO	NYISO	0	0
CAISO	PJM	0	0
CAISO	MISO	0	0
CAISO	SPP	0	0
CAISO	ERCOT	0	0
CAISO	CAISO	0	0
CAISO	Southeast	0	0
CAISO	Southwest	10.621	0
CAISO	Northwest	42.309	0
Southeast	ISONE	0	0
Southeast	NYISO	0	0
Southeast	PJM	45.864	0
Southeast	MISO	74.422	0
Southeast	SPP	3.592	0
Southeast	ERCOT	0	0
Southeast	CAISO	0	0
Southeast	Southeast	0	0
Southeast	Southwest	0	0
Southeast	Northwest	0	0
Southwest	ISONE	0	0
Southwest	NYISO	0	0
Southwest	PJM	0	0
Southwest	MISO	0	0
Southwest	SPP	4.032	0
Southwest	ERCOT	0	0
Southwest	CAISO	10.621	0
Southwest	Southeast	0	0
Southwest	Southwest	0	0
Southwest	Northwest	31.941	0
Northwest	ISONE	0	0
Northwest	NYISO	0	0
Northwest	PJM	0	0
Northwest	MISO	0.72	0
Northwest	SPP	0	0
Northwest	ERCOT	0	0
Northwest	CAISO	42.309	0
Northwest	Southeast	0	0
Northwest	Southwest	31.941	0
Northwest	Northwest	0	0
